"MOVIE_originalName";"MOVIE_genre";"MOVIE_duration";"WORK_name";"WORK_creator";"WORK_createDate";"WORK_url";"WORK_URI"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;;;"CETTO C'È, SENZADUBBIAMENTE";;;"https://en.wikipedia.org/wiki/Cetto_c'%C3%A8,_senzadubbiamente";"http://www.semanticweb.org/facilitiesEventsOntology/CETTO%20C%27%C3%88%2C%20SENZADUBBIAMENTE/_/_/https%3A//en.wikipedia.org/wiki/Cetto_c%27%25C3%25A8%2C_senzadubbiamente"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
;"drammatico";"122' - v.m.14 anni";"JOKER";"Todd Phillips";"2019";"https://it.wikipedia.org/wiki/Joker_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/JOKER/Todd%20Phillips/2019/https%3A//it.wikipedia.org/wiki/Joker_%28film_2019%29"
